grasp_index,success_rate
2,1.0
3,1.0
23,0.98
27,1.0
38,1.0
47,0.98
49,0.98
59,0.74
60,1.0
94,1.0
96,1.0
113,1.0
116,0.66
119,0.98
127,0.86
146,0.92
151,1.0
169,1.0
176,0.98
177,1.0
186,1.0
192,1.0
207,1.0
220,0.96
227,0.74
229,0.98
268,0.98
271,0.7
283,0.94
290,1.0
298,1.0
304,1.0
310,1.0
320,1.0
328,0.94
338,0.86
343,1.0
348,0.96
357,0.78
362,1.0
370,1.0
393,0.98
404,1.0
424,1.0
436,0.76
469,1.0
476,0.34
482,0.82
484,0.74
488,0.84
489,1.0
490,0.84
494,0.98
506,1.0
539,1.0
542,1.0
565,1.0
571,1.0
573,1.0
578,1.0
580,1.0
582,0.9
585,1.0
587,1.0
591,0.96
598,0.98
625,1.0
633,1.0
638,1.0
640,1.0
642,1.0
657,1.0
659,0.96
673,0.96
678,1.0
695,1.0
709,1.0
737,0.7
754,0.9
803,1.0
810,1.0
821,0.88
829,0.92
832,1.0
836,0.96
840,1.0
864,1.0
880,0.66
881,1.0
885,1.0
895,1.0
907,0.2
921,1.0
932,1.0
982,0.98
993,1.0
1001,1.0
1012,1.0
1015,0.86
1027,0.46
1030,0.8
1048,0.26
1103,1.0
1124,1.0
1150,0.94
1162,1.0
1193,1.0
1197,1.0
1210,1.0
1211,0.92
1216,1.0
1224,1.0
1232,1.0
1236,1.0
1240,0.98
1253,0.98
1261,1.0
1273,1.0
1274,0.9
1281,0.96
1288,0.94
1289,0.8
1290,1.0
1294,1.0
1295,1.0
1330,1.0
1339,0.62
1348,1.0
1350,0.66
1359,1.0
1382,1.0
1430,1.0
1443,0.88
1444,1.0
1454,0.64
1480,1.0
1493,1.0
1502,0.42
1504,1.0
1510,0.98
1512,1.0
1515,1.0
1557,1.0
1562,1.0
1568,1.0
1589,1.0
1591,0.9
1605,1.0
1619,1.0
1624,1.0
1630,0.7
1632,0.36
1636,1.0
1637,1.0
1643,0.56
1663,0.86
1665,1.0
1668,0.72
1679,0.86
1680,0.84
1685,1.0
1687,0.88
1698,0.9
1701,0.94
1719,0.98
1733,1.0
1736,0.76
1751,0.94
1757,0.92
1767,0.96
1855,1.0
1861,1.0
1866,1.0
1879,1.0
