grasp_index,success_rate
0,1.0
3,1.0
5,1.0
7,1.0
9,0.94
11,1.0
12,0.9
13,0.56
20,1.0
34,1.0
38,1.0
45,0.96
54,0.86
56,0.98
57,1.0
60,0.88
62,0.86
77,0.92
79,1.0
91,1.0
92,1.0
99,1.0
104,0.52
105,1.0
107,1.0
108,1.0
110,1.0
114,0.78
124,1.0
129,0.9
131,1.0
133,1.0
144,0.9
176,0.9
185,1.0
191,1.0
199,0.78
207,1.0
209,1.0
215,1.0
216,1.0
217,1.0
221,0.94
231,0.88
237,0.98
238,0.94
242,0.96
250,1.0
253,0.82
255,0.84
258,0.94
262,0.62
264,1.0
275,0.98
276,1.0
283,1.0
284,1.0
292,0.84
306,0.64
307,1.0
309,1.0
312,1.0
323,1.0
325,1.0
330,1.0
331,1.0
333,1.0
336,0.96
338,1.0
343,0.96
345,0.94
362,0.88
363,0.94
364,0.98
365,0.94
366,1.0
369,0.78
371,1.0
376,1.0
383,0.82
402,1.0
405,0.94
406,1.0
407,1.0
423,0.98
425,0.88
434,0.48
437,1.0
438,1.0
444,0.0
446,1.0
447,0.92
459,1.0
464,0.98
468,1.0
472,0.3
474,1.0
479,0.78
481,1.0
488,1.0
489,0.72
497,0.62
504,1.0
505,1.0
507,1.0
509,1.0
510,0.16
511,1.0
513,0.98
519,0.96
520,0.32
523,0.6
524,1.0
525,1.0
530,0.92
535,1.0
538,0.84
549,0.94
552,1.0
553,0.82
554,1.0
555,1.0
563,1.0
576,1.0
587,1.0
591,1.0
592,1.0
596,1.0
597,0.76
600,0.96
601,0.94
602,1.0
604,0.96
605,1.0
609,0.86
620,1.0
622,1.0
624,0.84
629,1.0
641,0.64
651,0.98
653,0.8
657,1.0
659,1.0
667,1.0
672,0.92
689,0.92
695,1.0
702,1.0
706,0.8
707,1.0
709,0.98
713,1.0
714,1.0
722,1.0
723,0.98
727,1.0
729,0.88
733,1.0
744,0.86
756,0.96
762,1.0
765,1.0
767,0.4
768,0.98
775,1.0
777,1.0
778,0.22
779,0.96
781,0.4
784,1.0
787,1.0
795,0.98
806,1.0
807,1.0
808,0.96
813,1.0
818,0.7
821,0.94
822,0.74
823,0.96
824,0.82
825,1.0
834,1.0
846,1.0
