grasp_index,success_rate
15,1.0
39,1.0
46,1.0
56,1.0
61,1.0
62,1.0
63,0.84
85,0.98
96,1.0
97,1.0
105,0.94
108,1.0
127,0.82
133,0.96
136,1.0
137,1.0
142,0.84
144,0.72
163,0.8
192,1.0
233,1.0
237,1.0
260,1.0
269,0.58
283,1.0
288,1.0
311,1.0
339,1.0
341,1.0
342,1.0
345,1.0
359,0.78
381,1.0
382,0.96
386,1.0
398,1.0
415,1.0
418,1.0
434,1.0
452,1.0
458,1.0
468,0.84
474,1.0
480,1.0
482,0.96
483,0.96
491,1.0
499,0.98
503,1.0
508,0.7
511,1.0
514,0.38
530,1.0
535,1.0
536,1.0
543,0.88
545,1.0
546,1.0
589,1.0
598,1.0
615,1.0
619,1.0
635,0.86
638,0.74
657,1.0
671,0.46
675,1.0
694,0.66
701,1.0
720,1.0
727,1.0
739,1.0
744,0.98
757,1.0
768,0.94
813,1.0
818,0.94
834,1.0
837,1.0
841,0.98
853,0.78
864,1.0
886,0.88
887,1.0
905,0.96
906,1.0
916,1.0
954,0.9
956,1.0
962,0.68
966,1.0
971,1.0
987,0.82
988,1.0
990,1.0
992,1.0
1012,1.0
1014,1.0
1017,0.98
1029,1.0
1033,1.0
1034,1.0
1058,1.0
1078,0.98
1116,1.0
1123,1.0
1133,1.0
1140,1.0
1143,0.8
1147,1.0
1150,0.28
1171,1.0
1172,0.52
1173,0.36
1191,0.96
1232,0.32
1235,1.0
1247,0.82
1257,0.62
1268,0.94
1273,0.78
1283,0.76
1284,1.0
1285,1.0
1304,0.94
1306,0.98
1308,0.78
1322,1.0
1327,0.42
1333,1.0
1339,0.94
1342,0.98
1344,1.0
1361,1.0
1367,0.98
1369,1.0
1394,0.98
1397,1.0
1414,1.0
1431,0.92
1438,0.76
1440,0.6
1448,1.0
1452,1.0
1458,1.0
1462,0.94
1471,1.0
1473,0.98
1474,1.0
1505,1.0
1506,1.0
1509,1.0
1511,1.0
1514,1.0
1528,1.0
1536,1.0
1538,0.78
1544,1.0
1555,1.0
