grasp_index,success_rate
6,0.98
17,0.46
19,0.84
27,0.92
29,1.0
32,0.94
80,0.6
123,0.66
132,0.94
134,1.0
139,0.98
153,1.0
154,1.0
166,0.72
168,0.8
176,1.0
185,0.92
190,0.6
194,1.0
210,0.9
212,0.9
217,0.8
223,0.72
224,0.94
253,0.6
258,0.84
281,0.86
283,0.86
284,1.0
285,0.46
288,0.88
290,0.74
291,0.9
292,0.84
302,0.58
316,0.96
344,0.74
345,1.0
347,0.9
349,1.0
352,0.7
355,0.82
357,0.88
369,1.0
384,0.66
392,0.7
413,1.0
414,0.96
415,0.9
418,1.0
427,1.0
438,0.6
444,0.82
461,0.76
473,0.54
478,1.0
480,0.42
491,0.56
497,0.98
500,0.98
502,1.0
513,0.86
529,0.94
533,1.0
539,0.96
541,1.0
545,1.0
546,0.48
570,1.0
576,0.86
588,1.0
609,1.0
612,0.76
613,1.0
619,0.8
620,1.0
625,1.0
634,0.9
637,1.0
642,0.98
650,0.98
654,0.84
668,0.68
677,0.46
684,0.58
685,0.94
697,0.86
719,0.94
733,0.48
737,0.76
748,1.0
751,0.86
756,0.92
763,0.94
767,1.0
781,1.0
785,0.62
789,0.68
793,1.0
801,1.0
803,0.72
804,1.0
805,0.98
807,0.94
810,1.0
821,0.96
822,0.8
825,0.86
830,0.84
831,0.9
838,1.0
842,0.62
868,1.0
869,1.0
870,1.0
875,0.98
878,0.98
879,1.0
885,1.0
889,0.96
890,1.0
897,0.9
904,1.0
905,0.68
906,0.98
907,0.76
910,0.96
911,0.58
912,1.0
919,1.0
923,0.98
924,0.6
925,0.0
927,1.0
930,1.0
934,1.0
939,1.0
940,0.64
946,0.84
953,0.84
961,0.98
962,0.5
964,1.0
981,0.54
983,1.0
997,0.78
998,1.0
999,1.0
1009,0.92
1016,1.0
1018,1.0
1030,0.84
1032,0.7
1033,0.98
1037,0.64
1039,0.98
1042,0.58
1043,0.54
1047,0.88
1049,1.0
1060,0.98
1062,1.0
1066,0.42
1099,0.8
1100,0.5
1101,0.78
1105,0.74
1124,0.84
1128,0.86
1130,1.0
1131,1.0
1134,0.98
1140,1.0
1141,1.0
1146,0.98
1150,1.0
1153,1.0
1157,1.0
1161,0.88
1168,1.0
1169,0.94
1172,1.0
1185,0.86
1202,0.86
1212,0.78
1223,0.98
1232,0.7
1237,0.72
1241,0.86
1254,0.98
1261,1.0
1265,0.54
1280,0.9
1287,1.0
1300,1.0
1301,1.0
1302,0.96
1309,0.74
1315,0.98
1317,0.74
1329,1.0
1342,0.98
1352,1.0
1356,1.0
1375,1.0
1376,1.0
1379,0.98
1390,0.56
1392,0.68
1394,0.98
1397,0.96
1411,1.0
1413,0.6
1424,0.88
1438,0.42
1440,0.68
1450,0.68
1465,0.88
1470,0.5
1473,1.0
1476,0.46
1481,1.0
1485,0.74
1486,1.0
1489,1.0
1504,0.96
1509,0.96
1518,1.0
1532,1.0
1541,1.0
1542,1.0
1565,1.0
1570,0.92
1573,0.98
1583,1.0
1588,0.98
1596,0.84
1597,0.78
1598,1.0
1604,1.0
1609,1.0
1620,0.98
1629,0.88
1636,0.98
1641,0.62
1644,1.0
1645,1.0
1646,0.54
1652,0.72
1655,0.98
1661,0.62
1665,0.78
1674,1.0
1676,1.0
1677,0.76
1678,0.8
1684,0.62
1699,1.0
1701,0.7
1705,1.0
1710,0.98
1718,0.7
1726,1.0
1729,1.0
1742,0.86
1762,1.0
1768,0.86
1809,1.0
1819,0.6
1823,1.0
1826,1.0
1829,1.0
1836,0.8
1839,0.08
1842,0.94
1848,1.0
