grasp_index,success_rate
13,1.0
14,0.84
17,1.0
27,0.84
49,0.94
53,0.82
66,0.72
71,1.0
75,0.96
77,1.0
79,1.0
130,1.0
137,0.76
142,1.0
147,0.8
149,0.76
153,1.0
159,0.68
166,0.76
191,1.0
194,0.92
197,1.0
223,1.0
243,0.94
249,1.0
253,0.94
265,1.0
277,1.0
287,1.0
292,1.0
293,0.94
296,1.0
312,1.0
332,1.0
336,0.86
344,0.98
345,0.66
346,0.82
347,1.0
348,0.96
358,1.0
367,0.98
387,1.0
409,0.78
416,1.0
420,1.0
427,0.88
452,0.8
453,1.0
455,1.0
456,0.96
461,1.0
471,1.0
473,1.0
479,0.86
488,0.98
492,0.96
497,1.0
504,0.96
535,1.0
542,1.0
559,1.0
570,1.0
571,1.0
573,1.0
575,0.94
583,1.0
584,0.96
589,0.96
596,0.92
605,0.8
614,1.0
639,1.0
662,0.98
665,1.0
666,0.98
683,0.68
684,1.0
687,0.76
691,1.0
694,1.0
709,0.98
718,0.84
719,0.76
740,0.9
742,1.0
743,0.82
754,1.0
758,0.86
776,0.98
783,1.0
793,0.9
800,1.0
807,1.0
816,1.0
817,1.0
824,1.0
828,1.0
833,0.96
835,1.0
851,0.96
854,0.9
867,0.92
868,1.0
870,0.96
877,1.0
880,1.0
892,1.0
910,0.88
927,1.0
945,0.82
946,1.0
954,1.0
957,0.82
958,1.0
961,1.0
988,0.88
995,1.0
997,0.76
998,0.82
1001,1.0
1005,0.92
1012,0.98
1020,1.0
1025,0.58
1031,0.98
1037,1.0
1044,0.98
1050,1.0
1052,1.0
1054,0.96
1063,0.9
1064,1.0
1066,1.0
1080,1.0
1083,0.94
1086,1.0
1096,1.0
1108,1.0
1115,0.98
1175,1.0
1205,0.96
1215,1.0
1221,0.98
1223,0.98
1227,1.0
1228,1.0
1229,1.0
1238,1.0
1252,1.0
1255,1.0
1258,1.0
1266,1.0
1267,0.9
1298,0.58
1299,1.0
1300,1.0
1312,0.8
1316,1.0
1320,1.0
1322,1.0
1326,1.0
1331,0.76
1338,0.94
1355,0.64
1379,1.0
1384,0.98
1391,0.76
1397,0.82
1404,0.98
1406,0.96
1409,0.88
1415,1.0
1416,1.0
1425,0.82
1426,0.98
1433,0.98
1440,0.66
1465,0.9
1473,0.98
1495,0.94
1529,1.0
1544,0.76
1557,1.0
1559,1.0
1566,1.0
1590,1.0
1596,0.98
1602,1.0
1611,0.7
1612,1.0
