grasp_index,success_rate
1,1.0
6,1.0
18,1.0
25,1.0
26,0.8
27,0.96
36,0.98
41,0.98
43,1.0
45,1.0
46,1.0
49,1.0
51,1.0
55,0.88
59,1.0
66,1.0
77,1.0
84,1.0
85,0.98
92,1.0
103,0.98
112,0.9
113,0.98
115,1.0
117,0.36
121,0.8
126,0.86
128,0.98
130,0.72
149,1.0
152,0.5
162,1.0
170,1.0
184,1.0
187,0.98
191,0.94
192,0.88
193,1.0
196,0.74
197,1.0
207,1.0
208,1.0
209,1.0
210,1.0
221,0.76
223,1.0
225,0.66
229,0.8
231,0.96
242,1.0
246,1.0
248,1.0
255,1.0
257,1.0
265,0.96
266,0.98
275,1.0
278,1.0
280,1.0
298,1.0
301,1.0
302,1.0
305,1.0
306,1.0
308,0.98
310,1.0
313,0.84
314,0.92
318,0.82
319,0.94
324,1.0
325,0.94
327,1.0
329,1.0
330,0.88
337,1.0
343,1.0
346,0.96
351,0.72
359,0.6
375,1.0
391,1.0
393,1.0
394,1.0
399,0.88
400,1.0
407,1.0
408,0.86
413,1.0
414,1.0
421,0.94
425,0.96
440,0.84
443,1.0
445,1.0
446,0.98
450,1.0
452,0.98
454,0.78
461,0.88
462,0.86
463,1.0
464,1.0
465,0.92
470,1.0
485,0.86
500,1.0
516,1.0
518,1.0
520,0.98
521,0.8
522,0.98
524,1.0
528,1.0
537,1.0
541,0.92
545,0.84
557,1.0
574,1.0
588,1.0
592,0.98
593,0.98
599,1.0
604,0.98
628,0.98
630,0.8
631,0.98
632,1.0
633,1.0
637,1.0
638,1.0
639,1.0
642,0.74
643,1.0
647,1.0
653,1.0
658,1.0
662,1.0
666,0.86
668,1.0
669,1.0
670,1.0
671,0.3
674,0.96
676,0.92
677,1.0
678,0.56
679,1.0
682,0.92
704,1.0
705,1.0
724,1.0
725,0.96
727,1.0
745,1.0
750,1.0
762,1.0
766,1.0
768,1.0
769,1.0
770,1.0
774,0.98
782,1.0
797,1.0
809,0.42
814,0.98
815,0.98
817,1.0
820,0.98
826,1.0
828,1.0
